Brand Name,Shirt Name,Rating,Price,URL,No. of ratings,Colour,Sleeve,Neck,Material,Fit Type,PG
FastColors,t shirt Combo tshirt for boys casual tees full sleeve t...,3.9,729.0,https://www.flipkart.com/fastcolors-boys-colorblock-cotton-blend-t-shirt/p/itmcf30d295d111e?pid=KTBFSZKECGUP7BGF&lid=LSTKTBFSZKECGUP7BGFXX32JI&marketplace=FLIPKART&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=1d80f60d-38d2-42f3-834a-52312f58290d.KTBFSZKECGUP7BGF.SEARCH&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,70,Red Yellow,Full Sleeve,Hooded,Pure Cotton,Regular,1
Miss & Chief,Boys Printed Pure Cotton T Shirt,4.3,519.0,https://www.flipkart.com/miss-chief-boys-printed-pure-cotton-t-shirt/p/itmde0a87b150791?pid=KTBFZ5D8MFA5KXPA&lid=LSTKTBFZ5D8MFA5KXPAFGLOCD&marketplace=FLIPKART&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=1d80f60d-38d2-42f3-834a-52312f58290d.KTBFZ5D8MFA5KXPA.SEARCH&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,82,White||Red||Dark Blue,Half Sleeve,Round Neck,100% Cotton,Regular,1
FastColors,t shirt tshirt for boys casual tees full sleeve tshirts...,3.8,399.0,https://www.flipkart.com/fastcolors-boys-solid-cotton-blend-t-shirt/p/itm2b42be01bd480?pid=KTBFPPA2HEDHEXCG&lid=LSTKTBFPPA2HEDHEXCGPYLBNX&marketplace=FLIPKART&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=1d80f60d-38d2-42f3-834a-52312f58290d.KTBFPPA2HEDHEXCG.SEARCH&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,57,"Red, Blue",Full Sleeve,Hooded,Cotton Blend,Regular,1
Tripr,Boys Printed Pure Cotton T Shirt,4.1,399.0,https://www.flipkart.com/tripr-boys-printed-pure-cotton-t-shirt/p/itmb76b9a85330e8?pid=KTBFZCW6XVDXFMVB&lid=LSTKTBFZCW6XVDXFMVBPU82AJ&marketplace=FLIPKART&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=en_XTMlzSqNxAt5CtmfMz%2B7X6Oah6f3QOaTOoaw%2FHQ%2F%2BIYDv02gQ9e3Gv00yFone%2BRlP5M%2BZwHiPiJJY%2Bh3unRwPw%3D%3D&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,733,Navy Blue,Full Sleeve,Hooded,100%Cotton,Regular,1
Miss & Chief,Boys Printed Pure Cotton T Shirt,4.7,359.0,https://www.flipkart.com/miss-chief-boys-printed-pure-cotton-t-shirt/p/itm43058faa10cd7?pid=KTBFZ5EBBCWP6CFA&lid=LSTKTBFZ5EBBCWP6CFAGI006X&marketplace=FLIPKART&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=1d80f60d-38d2-42f3-834a-52312f58290d.KTBFZ5EBBCWP6CFA.SEARCH&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,15,Black||Light Green,Half Sleeve,Round Neck,100% Cotton,Regular,1
Tripr,Boys Printed Pure Cotton T Shirt,4.1,399.0,https://www.flipkart.com/tripr-boys-printed-pure-cotton-t-shirt/p/itm3cf4d51a5d955?pid=KTBFZUFQYGGHZ5HX&lid=LSTKTBFZUFQYGGHZ5HXDYGG8E&marketplace=FLIPKART&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=1d80f60d-38d2-42f3-834a-52312f58290d.KTBFZUFQYGGHZ5HX.SEARCH&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,1714,Black,Full Sleeve,Round Neck,100% Cotton,Regular,1
FastColors,t shirt Combo tshirt for boys casual tees full sleeve t...,3.9,649.0,https://www.flipkart.com/fastcolors-boys-colorblock-cotton-blend-t-shirt/p/itm2a4e92ea8d141?pid=KTBFSZZTTKZSSBWD&lid=LSTKTBFSZZTTKZSSBWDJLTW51&marketplace=FLIPKART&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=1d80f60d-38d2-42f3-834a-52312f58290d.KTBFSZZTTKZSSBWD.SEARCH&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,70,Yellow Red,Full Sleeve,Hooded,Pure Cotton,Regular,1
FastColors,t shirt Combo tshirt for boys casual tees full sleeve t...,3.9,649.0,https://www.flipkart.com/fastcolors-boys-colorblock-cotton-blend-t-shirt/p/itm82b68f38d6ce2?pid=KTBFSZJUZAHYZ8VH&lid=LSTKTBFSZJUZAHYZ8VHQ3SXNB&marketplace=FLIPKART&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=1d80f60d-38d2-42f3-834a-52312f58290d.KTBFSZJUZAHYZ8VH.SEARCH&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,70,"Grey, Yellow",Full Sleeve,Hooded,Pure Cotton,Regular,1
Provogue,Boys Printed Pure Cotton T Shirt,4.5,239.0,https://www.flipkart.com/provogue-boys-printed-pure-cotton-t-shirt/p/itm9336fc066e6eb?pid=KTBFZ4ANFP4ZEZHW&lid=LSTKTBFZ4ANFP4ZEZHWSDWIT2&marketplace=FLIPKART&spotlightTagId=TrendingId_clo%2Fash%2Fank%2Fpgi&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=1d80f60d-38d2-42f3-834a-52312f58290d.KTBFZ4ANFP4ZEZHW.SEARCH&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,30,Yellow,Half Sleeve,Round Neck,Cotton,Regular,1
Tripr,Boys Printed Pure Cotton T Shirt,4.1,399.0,https://www.flipkart.com/tripr-boys-printed-pure-cotton-t-shirt/p/itm8a2ce697721d2?pid=KTBFZB5Y7S2GDBSV&lid=LSTKTBFZB5Y7S2GDBSV1PR1TR&marketplace=FLIPKART&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=en_XTMlzSqNxAt5CtmfMz%2B7X6Oah6f3QOaTOoaw%2FHQ%2F%2BIaD8CuzsCPd9igs6rqZNxcwa9n6nOQ7bOxpEZQqbx%2BcUg%3D%3D&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,601,Red,Full Sleeve,Round Neck,100% Cotton,Regular,1
