Brand Name,Shirt Name,Rating,Price,URL,No. of ratings,Colour,Sleeve,Neck,Material,Fit Type,PG
BASE 41,Solid Women Round Neck Green T-Shirt,4.0,289.0,https://www.flipkart.com/base-41-solid-women-round-neck-green-t-shirt/p/itm6df05456c8a46?pid=TSHFPA9ZNWRY3JZK&lid=LSTTSHFPA9ZNWRY3JZKTBFNAJ&marketplace=FLIPKART&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=89e1a396-49e2-4507-88e3-b9cf49ae49da.TSHFPA9ZNWRY3JZK.SEARCH&ssid=ecdbyr1bio0000001594640411962&qH=745024300dc73418,6349,OLIVE GREEN,Short Sleeve,Round Neck,Hosiery,REGULAR,1
BASE 41,Solid Women Round Neck Red T-Shirt,4.0,289.0,https://www.flipkart.com/base-41-solid-women-round-neck-red-t-shirt/p/itmf1d3845211aad?pid=TSHFZPBQCZWEBZNN&lid=LSTTSHFZPBQCZWEBZNNAVKJPM&marketplace=FLIPKART&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=89e1a396-49e2-4507-88e3-b9cf49ae49da.TSHFZPBQCZWEBZNN.SEARCH&ssid=ecdbyr1bio0000001594640411962&qH=745024300dc73418,6349,RED,Short Sleeve,Round Neck,Hosiery,REGULAR,1
TARGET SUCCESS,Solid Women Round Neck Blue T-Shirt,3.9,169.0,https://www.flipkart.com/target-success-solid-women-round-neck-blue-t-shirt/p/itm39264b519409a?pid=TSHFS732SC9GMB7Y&lid=LSTTSHFS732SC9GMB7YDXPZZP&marketplace=FLIPKART&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=89e1a396-49e2-4507-88e3-b9cf49ae49da.TSHFS732SC9GMB7Y.SEARCH&ssid=ecdbyr1bio0000001594640411962&qH=745024300dc73418,2347,blue,Half Sleeve,Round Neck,Cotton Blend,SLIM FIT,1
LEWEL,"Printed, Color Block Women Collared Neck Green, White, ...",4.1,419.0,https://www.flipkart.com/lewel-printed-color-block-women-collared-neck-green-white-black-t-shirt/p/itm62fedf78ac25c?pid=TSHFPCJYFUGCB4GH&lid=LSTTSHFPCJYFUGCB4GHJN2X6C&marketplace=FLIPKART&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=en_W9FIQrMconIuxj2eFNePG%2BIwlX5c6dGZhkloD5q5owMhreHrvLnVhMehf8adycfbywmnQ9%2FwKBGb7lKjCOPMzg%3D%3D&ssid=ecdbyr1bio0000001594640411962&qH=745024300dc73418,40,"Olive Green, White",Full Sleeve,Collared Neck,Pure Cotton,Regular,1
Elepants,Solid Women Round Neck Light Green T-Shirt,4.1,299.0,https://www.flipkart.com/elepants-solid-women-round-neck-light-green-t-shirt/p/itmc425976e31bf8?pid=TSHFRKP7JNYXGVVW&lid=LSTTSHFRKP7JNYXGVVWZ3RBAH&marketplace=FLIPKART&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=89e1a396-49e2-4507-88e3-b9cf49ae49da.TSHFRKP7JNYXGVVW.SEARCH&ssid=ecdbyr1bio0000001594640411962&qH=745024300dc73418,4028,GREEN,Half Sleeve,Round Neck,Hosiery,SLIM,1
FLEXIMAA,"Printed Women Round Neck Red, Blue T-Shirt",4.0,449.0,https://www.flipkart.com/fleximaa-printed-women-round-neck-red-blue-t-shirt/p/itmf5g2jphwxtnez?pid=TSHF5BHSX6VP52GW&lid=LSTTSHF5BHSX6VP52GWYN2NWP&marketplace=FLIPKART&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=89e1a396-49e2-4507-88e3-b9cf49ae49da.TSHF5BHSX6VP52GW.SEARCH&ssid=ecdbyr1bio0000001594640411962&qH=745024300dc73418,1352,red-navy,Half Sleeve,Round Neck,Cotton Blend,Slim,1
Elepants,Solid Women Round Neck Light Green T-Shirt,4.1,299.0,https://www.flipkart.com/elepants-solid-women-round-neck-light-green-t-shirt/p/itmbcf3d5c86e63d?pid=TSHFSK48JPPPHUZY&lid=LSTTSHFSK48JPPPHUZY2K7L50&marketplace=FLIPKART&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=89e1a396-49e2-4507-88e3-b9cf49ae49da.TSHFSK48JPPPHUZY.SEARCH&ssid=ecdbyr1bio0000001594640411962&qH=745024300dc73418,4028,WHITE,Half Sleeve,Round Neck,Hosiery,SLIM,1
Elepants,Solid Women Round Neck Light Green T-Shirt,4.1,299.0,https://www.flipkart.com/elepants-solid-women-round-neck-light-green-t-shirt/p/itm2352a5716b280?pid=TSHFSK48YMHDBXFA&lid=LSTTSHFSK48YMHDBXFAUHVTLO&marketplace=FLIPKART&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=89e1a396-49e2-4507-88e3-b9cf49ae49da.TSHFSK48YMHDBXFA.SEARCH&ssid=ecdbyr1bio0000001594640411962&qH=745024300dc73418,4028,NEONGREEN,Half Sleeve,Round Neck,Hosiery,SLIM,1
VIVINKS,"Solid Women Round Neck Black, Yellow T-Shirt",4.1,299.0,https://www.flipkart.com/vivinks-solid-women-round-neck-black-yellow-t-shirt/p/itmf3b52a30e7997?pid=TSHFM57SATCGZWPK&lid=LSTTSHFM57SATCGZWPK61UVX3&marketplace=FLIPKART&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=89e1a396-49e2-4507-88e3-b9cf49ae49da.TSHFM57SATCGZWPK.SEARCH&ssid=ecdbyr1bio0000001594640411962&qH=745024300dc73418,2085,Black-Yellow,Full Sleeve,Round Neck,Cotton Blend,Regular,1
LEWEL,"Printed, Color Block Women Collared Neck Red, White, Bl...",4.1,419.0,https://www.flipkart.com/lewel-printed-color-block-women-collared-neck-red-white-black-t-shirt/p/itmc208163258e1b?pid=TSHFPCJYGFH4FGMA&lid=LSTTSHFPCJYGFH4FGMABXYAJI&marketplace=FLIPKART&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=en_W9FIQrMconIuxj2eFNePG%2BIwlX5c6dGZhkloD5q5owNR0y7MSNkiSh9%2BArYk1xFu%2B6eNhC%2FtLjppjMg0AKo7cw%3D%3D&ssid=ecdbyr1bio0000001594640411962&qH=745024300dc73418,40,"Red, White",Full Sleeve,Collared Neck,Pure Cotton,Regular,1
Elepants,Solid Women Round Neck Light Blue T-Shirt,4.1,299.0,https://www.flipkart.com/elepants-solid-women-round-neck-light-blue-t-shirt/p/itm9d563d557367a?pid=TSHFRKP7WRS2DAUV&lid=LSTTSHFRKP7WRS2DAUV1IPA2N&marketplace=FLIPKART&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=89e1a396-49e2-4507-88e3-b9cf49ae49da.TSHFRKP7WRS2DAUV.SEARCH&ssid=ecdbyr1bio0000001594640411962&qH=745024300dc73418,4028,SKY,Half Sleeve,Round Neck,Hosiery,SLIM,1
Lee,Printed Women Round Neck Black T-Shirt,4.4,620.0,https://www.flipkart.com/lee-printed-women-round-neck-black-t-shirt/p/itm743fded932522?pid=TSHFNWH2W6CTFUYN&lid=LSTTSHFNWH2W6CTFUYNER4UDU&marketplace=FLIPKART&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=89e1a396-49e2-4507-88e3-b9cf49ae49da.TSHFNWH2W6CTFUYN.SEARCH&ssid=ecdbyr1bio0000001594640411962&qH=745024300dc73418,145,JSW-BLACK,Short Sleeve,Round Neck,Pure Cotton,Regular,1
