Brand Name,Shirt Name,Rating,Price,link,No. of ratings,Features,Colour,page
US Polo Association,Boy's Regular fit T-Shirt,4.6 out of 5 stars,449,https://www.amazon.in/US-Polo-Association-Regular-UKTS6911_Hot/dp/B07SLNM4H3/ref=sr_1_270?dchild=1&keywords=t-shirt&qid=1594056503&sr=8-270,11 ratings,"['Care Instructions: machine wash', 'Fit Type: regular fit', 'Color Name: Hot Coral', '100% Cotton', 'Half sleeve', 'Machine wash']",Hot Coral,6
stardom,Men's Slim Fit T-Shirt (SC01SOLIDMAROONBLACK-XXL_Black_Large),3.4 out of 5 stars,245,https://www.amazon.in/Stardom-Sleeve-Cotton-Tshirt-Maroon/dp/B07L1865WN/ref=sr_1_271?dchild=1&keywords=t-shirt&qid=1594056503&sr=8-271,142 ratings,"['Fit Type: Regular Fit', 'Fabric: 100% Cotton', 'Style: Regular', 'Neck Style: Round Neck', 'Pattern: Printed', 'Sleeve Type: Half Sleeve']",,6
Luke and Lilly,Boy's Regular fit T-Shirt (Pack of 4),4.1 out of 5 stars,562.32,https://www.amazon.in/Luke-Lilly-Cotton-Printed-T-shirt/dp/B07KM4D411/ref=sr_1_272?dchild=1&keywords=t-shirt&qid=1594056503&sr=8-272,119 ratings,"['Care Instructions: hand wash', 'Fit Type: regular fit', 'Note :- Please refer measurement chart in image for selecting correct size for your kids. It will help you to choose correct fit for your kids.', 'Material :- Cotton', 'Age Group :- 5-6 Years', 'Color : - Yellow, Pink, Aqua Blue &amp; Red', 'Wash Care :- Normal Machine wash and Hand Wash']",,6
MyBlush,Women's Regular fit T-Shirt,4.5 out of 5 stars,658,https://www.amazon.in/MyBlush-Womens-Regular-T-Shirt-MYB062A_Black/dp/B082MTM5B7/ref=sr_1_273?dchild=1&keywords=t-shirt&qid=1594056503&sr=8-273,2 ratings,"['Care Instructions: hand wash', 'Fit Type: regular fit', 'Color Name: Black', '100% Cotton', 'hand wash', 'Tunic', 'Short Sleeve', 'V-neck', 'V Neck', 'Short Sleeve', 'Knitted Cotton Jersey', 'Hip Length']",,6
GameReserves,Men' & Women's T-Shirt,3.8 out of 5 stars,399,https://www.amazon.in/GameReserves-Unisex-Caption-America-Tshirts/dp/B07QGN5XNP/ref=sr_1_274?dchild=1&keywords=t-shirt&qid=1594056503&sr=8-274,24 ratings,"['Fit Type: Regular Fit', 'Fabric: 100% Cotton', 'Style: Regular', 'Neck Style: Round Neck', 'Pattern: Solid', 'Sleeve Type: Half Sleeve']",Navy Blue,6
Nike,Men's Regular fit T-Shirt,3.1 out of 5 stars,929,https://www.amazon.in/Nike-Printed-Regular-T-Shirt-CI5185-010_Black/dp/B081DF66DL/ref=sr_1_275?dchild=1&keywords=t-shirt&qid=1594056503&sr=8-275,2 ratings,"['Care Instructions: machine wash', 'Fit Type: regular fit', 'Color: Black', 'Material: Cotton', 'Regular fit', 'Round neck', 'Machine wash']",,6
THEWHOOP,Personalized Custom Print Round Neck Dry Fit White Premium Polyester Kids T-Shirt for Boys and Girls,4.7 out of 5 stars,349,https://www.amazon.in/THEWHOOP-Personalized-Premium-Polyester-T-Shirt/dp/B0847QWS5Q/ref=sr_1_276?dchild=1&keywords=t-shirt&qid=1594056503&sr=8-276,11 ratings,"['Fit Type: Regular Fit', 'Fabric: Polyester', 'Style: Regular', 'Neck Style: Round Neck', 'Pattern: Printed', 'Sleeve Type: Half Sleeve']",,6
Levi's,Men's Regular fit T-Shirt,3.7 out of 5 stars,649,https://www.amazon.in/Levis-Printed-Regular-T-Shirt-16960-0268_Yellow_XL/dp/B07SNLJV6T/ref=sr_1_277?dchild=1&keywords=t-shirt&qid=1594056503&sr=8-277,7 ratings,"['Care Instructions: machine wash', 'Fit Type: regular fit', 'Color Name: yellow', '100% Cotton', 'Half sleeve', 'Round neck', 'Machine wash']",,6
Josh Daniel,"Solid Men's Micro Polyester Dryfit Half Sleeve Round Neck T-Shirt, Dark Grey, Royal Blue & Navy Blue, Combo Pack of 3",,499,https://www.amazon.in/Josh-Daniel-Polyester-Regular-T-Shirt/dp/B085BQ74XJ/ref=sr_1_278?dchild=1&keywords=t-shirt&qid=1594056503&sr=8-278,0,"['Care Instructions: Machine Wash with Like Colors, Do not Tumble dry, Do not Bleach, Line Dry in Shade', 'Fit Type: Regular Fit', 'Pls check 2nd image for size chart before choosing your Size.', 'If you want comfortable fit order a size Bigger and for Body fit you can order with the same size.', 'Size S is Chest 38, Size M = Chest 40, Size L = Chest 42, Size XL = Chest 44, Size XXl = Chest 46 and Size XXXL = Chest 48', 'Plus size available from size XXL onwards', 'For Men and Boys']",,6
ISAKAA,Baby Girls' Regular Fit T-Shirt,2.9 out of 5 stars,659,https://www.amazon.in/ISAKAA-Sleeve-Cotton-Tshirts-Colours/dp/B07P3ST6HG/ref=sr_1_279?dchild=1&keywords=t-shirt&qid=1594056503&sr=8-279,57 ratings,"['Fit Type: Regular Fit', 'Fabric: Cotton', 'Style: Regular', 'Neck Style: Round Neck', 'Pattern: Solid', 'Sleeve Type: Half Sleeve']",10 Colours,6
Levi's,Men's Regular fit T-Shirt,4.1 out of 5 stars,739,https://www.amazon.in/Levis-Printed-Regular-T-Shirt-52655-0042_White_L/dp/B07SLG72H4/ref=sr_1_280?dchild=1&keywords=t-shirt&qid=1594056503&sr=8-280,19 ratings,"['Care Instructions: machine wash', 'Fit Type: regular fit', 'Color: White', 'Material: Cotton', 'Regular fit', 'Half sleeve', 'Pattern: Printed', 'Machine wash']",,6
Ariel,"Boys' Tshirt Pack of 3 Cotton, Regular Fit, Multicolour",1.0 out of 5 stars,549,https://www.amazon.in/Ariel-Tshirt-Cotton-Regular-Multicolour/dp/B08BHRHNS9/ref=sr_1_281?dchild=1&keywords=t-shirt&qid=1594056503&sr=8-281,1 rating,"['Care Instructions: Normal wash or machine wash. Do not Bleach.', 'Fit Type: Regular Fit', '✔ Made of 100% pure cotton, comfortable for all seasons', '✔ Bright Colors, Bold graphics, Tag free Crew neck tees', '✔ Trusted ARIEL quality, exclusive on Amazon', '✔ Half Sleeves, Regular fit', '✔ Design will be same as shown in the image']",Multi 1,6
